cov1,cov2,cov3,cov4,cov5,cov6,cov7,sal_pur_rat,igst_itc_tot_itc_rat,lib_igst_itc_rat
0.99522895,0.71486694,0.028209228,-0.13905326,0.0039561484,0.99353284,0.1459845,-0.032632485,-0.7826575,-0.052524514
0.8684899,0.36771414,0.26999223,0.34663704,-0.5401512,0.21322504,0.9087064,-0.032457907,-0.7344108,-0.05485056
0.87756944,0.66936857,0.32009068,0.7085319,0.086042024,0.7997049,0.17866755,-0.03073188,0.46726522,-0.054298785
0.9880367,0.95312387,1.0571871,0.9806247,0.00083334546,0.6141695,0.7950399,-0.029393721,0.5602629,-0.053418882
0.99863166,0.9938557,0.075929776,0.12146544,0.0023051817,0.25895894,0.6257088,-0.032846674,-0.60991573,-0.05193775
0.99265826,0.95614845,0.5442395,0.5198345,-0.0008971562,0.87728554,0.72123784,-0.03226598,1.3179444,-0.05468994
0.98947114,0.9743715,-0.09524989,-0.10157882,0.002924474,0.6121063,0.79412603,-0.033148352,-0.6153702,-0.05130554
0.973842,0.9361748,0.150067,0.18646592,-0.0024467986,0.8141951,0.7666673,-0.032409325,-0.4857001,-0.05240504
1.0060518,0.63609034,0.034148652,-0.14596629,0.0028674733,0.5597412,0.04749167,-0.033131503,-0.849015,-0.05080131
0.98997253,0.9903427,0.059905056,0.11097928,-0.00025902886,0.62715465,0.8513939,-0.03236521,0.64410305,-0.054243784
0.9823863,0.9367984,0.03557806,-0.049260348,0.0015756543,-0.16466483,0.94440514,-0.032939836,0.28827375,-0.053700127
0.9978601,1.0011404,0.15705545,0.099296615,0.00081721495,0.9701418,0.49654695,-0.03268344,-0.98478943,-0.051453758
0.99416715,0.9926547,-0.13777885,-0.14477181,-0.0010637773,0.63716567,0.7013498,-0.032441173,0.40251985,-0.053544104
1.0002259,0.43586886,-0.033478167,0.0844109,0.00449788,0.4557825,0.44000238,-0.032407634,-0.9369262,-0.050692003
0.99707067,0.98863155,0.08961438,0.013977274,0.0016735884,0.9774293,0.21306774,-0.03404753,-0.8968315,-0.052421395
0.99239504,0.9409464,-0.42435008,-0.34527636,0.0012240651,0.87430495,0.30482408,-0.032383926,0.34085923,-0.054352667
0.989948,0.973665,-0.09343058,-0.08543007,0.0030333046,0.9076397,0.10988796,-0.032861333,-1.0687267,-0.019534279
0.40402392,0.4607158,-0.26847842,-0.11875591,0.012623882,0.14627427,0.8938347,-0.034339286,-0.09901054,-0.05456213
0.9807471,0.9150307,0.64561987,0.5760144,0.0022609737,-0.011800314,0.7298664,-0.03191127,-0.6692872,-0.052654006
0.96490914,0.90126806,0.8654282,0.56963587,-9.959761e-05,0.72213537,0.6174723,-0.03125705,-0.49281326,-0.052910384
0.9948308,1.0136828,0.13176194,0.11081916,0.0011984761,0.96099705,0.52241147,-0.032222416,-0.70255387,-0.052519035
0.9897615,0.99484646,0.15860951,-0.021843255,0.119339064,0.66207296,0.93410176,-0.032031924,1.3155648,-0.053335436
0.9915334,0.97560966,0.53814965,0.48052442,0.0009114685,0.81697166,0.17981103,-0.03184128,-0.90967906,-0.025734754
0.98280877,0.9505595,0.9980953,0.9187572,0.0022498798,0.58485174,0.6075012,-0.030248087,-0.6805211,-0.053400155
0.9913786,0.96129966,0.60987633,0.57858753,0.0015197824,0.8962403,-0.3308551,-0.03218751,-0.23670283,-0.054489333
0.9869927,1.0118077,0.63005733,0.543991,-0.00028121297,0.3699147,0.8947455,-0.032761432,0.16602921,-0.054691248
1.0009384,0.9730844,-0.4889053,-0.4466172,0.0019769687,0.93499213,0.6931858,-0.032326523,-0.538612,-0.0521854
1.0034616,0.9735866,-0.50684124,-0.49158406,0.0031696279,-0.14896342,0.99536264,-0.03326906,1.8431858,-0.053956527
0.9924936,0.96777385,-0.23316327,-0.28181213,0.0029674415,0.96808636,-0.2060552,-0.03281573,-0.7008943,-0.052294016
0.9952586,0.9110884,-0.04202729,-0.123373955,0.08282342,0.88655716,-0.10424277,-0.032625616,-0.77769256,-0.034026425
0.9985247,0.16114604,-0.2600857,-0.16607898,0.0061016884,0.7359834,0.35852295,-0.032893907,-0.4113138,-0.053022336
0.999809,0.93967426,-0.39799005,-0.43644214,0.0034605134,0.9386613,-0.04024771,-0.03263207,-0.94487613,-0.047961026
0.99501985,0.86214536,0.55029285,0.6393704,0.0038261544,0.25937295,0.079846025,-0.03285465,-0.9619287,-0.04788065
1.0014108,0.9708572,-0.029169034,0.0005004409,0.07869035,0.87956107,0.9422291,-0.032301832,0.8144977,-0.053133417
1.006124,0.97019887,0.023597661,-0.014849201,0.1580213,0.31027117,0.89217645,-0.032529075,1.3800702,-0.052964024
0.9898517,0.9393498,-0.10305524,-0.25628394,0.023854058,0.83178276,-0.12176952,-0.03328364,-1.2208117,0.1258379
0.66743445,0.84663,0.5853125,0.59122974,0.0024695676,0.90990186,0.20481583,-0.032210924,-0.92744344,-0.047671642
0.9825724,0.43948078,0.7339833,0.25849557,0.00322132,0.48191944,0.47220728,-0.030806351,-0.3770263,-0.054144822
0.9885918,0.8139545,-0.46181697,-0.5059014,-0.007164171,0.6861286,0.6775264,-0.0321296,0.033211425,-0.054404512
0.97462976,0.9574968,-0.16452911,-0.2743,-0.21888465,0.85295165,0.27668616,-0.033058185,-0.92951775,-0.049679305
1.0014684,0.9747681,-0.68421304,-0.67636,0.0012884381,0.92051536,0.49120983,-0.032307778,-0.5720259,-0.05307261
0.7991067,0.9897806,0.44740263,0.13068135,-0.00066510786,0.93100876,0.08662757,-0.032814007,-1.0316355,-0.047487922
0.9978975,0.9207772,0.41343027,0.29705116,0.015908219,0.8848495,0.4311571,-0.031403575,-0.736168,-0.04964703
0.9884736,1.0356482,-0.38088864,-0.35938263,0.00021035028,0.8364989,0.9619089,-0.032455727,0.5735791,-0.05464124
0.9929002,0.98283845,0.0048352806,0.0025595876,6.510865e-05,0.21482289,0.99759483,-0.032654222,1.267224,-0.053723402
0.9905706,0.65098494,0.5787002,0.192287,0.529468,0.7204934,0.93506336,-0.03142605,1.4581714,-0.052467242
0.99654955,0.96336555,0.40373918,0.45409733,-0.0022121724,0.86475027,0.94000494,-0.03243216,1.8659326,-0.05373472
0.9920875,0.9673239,0.75145763,0.7507396,-0.0017624703,0.74442726,0.9383731,-0.031595595,1.3283337,-0.056447174
0.9971864,0.99348354,0.557921,0.52633786,-0.0010241253,0.8304083,0.76502186,-0.033101622,-0.3810494,-0.052224115
0.9691294,0.6608385,0.41499516,-0.012409687,0.16281198,0.4142365,0.477796,-0.032234363,-0.5546036,-0.05188398
0.99846023,0.9320149,-0.20154202,-0.2561977,0.0022132304,1.0146806,0.7256557,-0.032581937,-0.7715573,-0.051270995
0.9933232,0.9636982,-0.28962076,-0.33840856,0.00041824754,0.80883884,0.7501177,-0.033314973,-0.6179162,-0.05217907
0.93218064,0.9771272,0.9350647,0.8760795,-0.00018851283,0.7834029,0.37214518,-0.03296964,-0.60166055,-0.053245295
1.0011746,0.965387,-0.38597095,-0.4789803,-0.001668783,0.12887248,0.8488848,-0.033108495,-0.6301384,-0.053041097
0.9932411,0.9158652,0.9213727,0.7864209,-0.002115542,0.5312425,0.62709147,-0.029553717,-0.6934886,-0.054251265
1.0159682,0.59973997,0.27143025,0.11991179,0.001768479,0.86272144,0.32603517,-0.032132808,-0.97664267,-0.044335626
1.0027783,0.5867731,0.20447429,0.08742762,0.0030279774,0.2733658,0.9683786,-0.032283206,1.7136863,-0.05342725
0.9642849,0.8518745,0.55652046,-0.06837119,0.0070223883,0.82336855,0.4903843,-0.031689767,-0.7270011,-0.051491182
0.9910184,0.82336706,0.28657052,0.3691117,-0.0013528412,0.3584219,0.8847205,-0.032318275,1.5568308,-0.054036677
0.99179184,0.9113161,-0.22741205,-0.14712799,0.004528364,0.51707417,0.6136448,-0.03319604,-0.8949162,-0.049230285
0.9922794,0.97404265,0.45436108,0.4622102,0.001325542,0.56806684,0.8241952,-0.032977145,0.25923696,-0.054837666
0.9959106,1.0386225,0.872406,0.88097066,0.0020076912,-0.024538184,0.9754479,-0.03403308,0.767242,-0.055400573
0.9888727,0.3524688,0.01181184,-0.16043237,0.004962096,0.14549893,0.43180972,-0.031560604,-0.43362817,-0.051231425
0.9901444,0.9776149,0.20179002,0.23354097,0.0033374634,0.7222399,0.98066807,-0.03236393,1.306012,-0.054697793
0.992414,0.17479074,0.07136972,0.01191318,0.0056297965,0.65709853,0.41016242,-0.03160042,-0.8871428,-0.05050807
0.8697666,0.9716428,0.5251634,0.43662924,0.0022115242,0.71107596,0.77476656,-0.032474708,-0.068538465,-0.054191682
0.9952703,0.954545,0.5992905,0.4570875,0.0011047627,0.63401854,0.26652777,-0.03147768,-0.9120534,-0.046375602
1.0126355,1.020109,0.87972414,0.92763305,0.63319016,0.061091576,0.87822384,-0.028232628,0.5615052,-0.048064955
0.9988638,0.30581647,0.41183713,0.018932581,0.0032023247,0.7069478,0.70179653,-0.030769259,-0.99311084,-0.051734842
0.9916905,0.9997068,0.42009133,0.3683419,0.0018312613,0.48380324,0.8806723,-0.032348625,0.8054167,-0.055714786
0.9917232,0.9489801,-0.3771193,-0.3367826,0.0021662097,0.7840762,0.5446782,-0.03284804,-0.20119448,-0.054650966
0.9609768,0.5088687,0.2651716,0.07328995,-0.14368983,0.81526035,0.9773995,-0.031676855,1.7133119,-0.0523054
0.9938371,1.000093,0.55409807,0.47602275,-0.0014124085,0.95372033,0.6719334,-0.03230271,-0.75876164,-0.050760128
0.9915271,0.984322,-0.024838042,-0.06274773,8.492347e-05,0.90538776,0.8257185,-0.03275977,0.9725356,-0.05468847
0.99384063,0.9838107,-0.18346873,-0.122559905,0.0015847738,0.31976172,-0.03524086,-0.03275974,0.43888423,-0.052670125
0.99853086,0.99741477,-0.18691415,-0.16166055,0.0015643033,0.5788967,0.8367734,-0.033535425,1.2784321,-0.054223306
0.98711836,0.96627337,0.6301477,0.5865824,0.0019911882,0.7719521,0.24373972,-0.031504154,-0.90613335,-0.04447986
0.9947688,0.9887158,0.26723376,0.34323567,0.0049260613,0.7246781,0.745195,-0.033587076,-0.7727679,-0.053199634
0.9937167,0.41205594,0.45338437,-0.015794456,0.3422734,0.8676983,0.70184594,-0.032762744,0.60716486,-0.05339343
0.9973574,0.9893859,-0.11516684,-0.16747904,0.0013674143,0.39382893,0.33670253,-0.032889098,-0.9345027,-0.050704468
0.99452245,0.9950762,0.8684465,0.74615383,-0.0002780055,0.8349607,0.44523945,-0.03124769,-0.8639287,-0.04619619
0.96759284,0.9576099,-0.17336845,-0.24330819,0.002884334,0.9334787,0.26686472,-0.032911044,-0.21295351,-0.051514465
0.985912,0.7892489,0.5521321,0.5666545,0.0029121954,-0.0785509,1.0041494,-0.030873831,1.7865779,-0.05685209
1.0029529,0.96033883,-0.17549688,-0.09935689,0.0013848747,0.8937549,0.2502368,-0.032154918,-1.1352935,-0.011388314
0.99977875,0.98097557,0.7676989,0.6994331,0.0011452305,0.5162403,0.9423678,-0.03315997,1.3401448,-0.054445315
0.9969574,0.9884137,0.67706186,0.61913854,-0.00088552956,0.9518816,0.9891476,-0.032307636,2.0797493,-0.05460884
0.9745688,0.9531364,0.17098884,0.111098334,0.002521297,0.7312211,0.78743756,-0.03205363,0.5301998,-0.052125216
0.99381256,0.986225,-0.19955847,-0.17992061,0.002858756,0.15193722,0.9779919,-0.033228096,2.162045,-0.054168273
0.9878646,0.9449889,-0.17345667,-0.04956737,0.64424634,0.4863164,0.2700099,-0.032040812,-0.615992,-0.05157416
0.99733335,0.97031415,-0.07360804,-0.04223536,-0.00038868014,0.75724125,0.4062538,-0.03306115,0.107475564,-0.05306958
0.9945609,0.8916818,0.27078572,0.20925908,0.0046537053,0.96506333,-0.065772444,-0.03273906,-1.0034645,-0.03188471
0.9947712,1.0081828,0.3574118,0.29908687,-6.465066e-05,0.8045716,1.014933,-0.03272618,2.268604,-0.055372644
0.9924672,1.0078285,-0.32276744,-0.28415152,0.0013899597,0.55899924,0.6586018,-0.033030383,0.52956975,-0.054256566
0.99540865,0.9217911,0.16140282,0.17634362,-0.23056647,0.18189189,0.37789136,-0.032589298,0.34707597,-0.05297814
0.99328494,0.77587795,-0.011574325,-0.1921072,0.00335362,0.55279446,0.19349161,-0.032468878,-0.83244205,-0.051991332
1.0034865,0.99361014,-0.060823914,-0.06444955,-0.00022424954,0.89261997,0.6471936,-0.032687172,-0.5359737,-0.053347703
0.98434997,0.7897038,0.03404898,-0.40083408,0.0032295045,0.90711856,0.4119503,-0.03307415,-0.8370483,-0.04931126
1.0058537,0.61049604,-0.27638423,0.0984133,0.006082872,-0.0033589257,0.7676899,-0.03348765,-0.030229578,-0.053510297
1.0152829,0.9625609,0.022917304,0.06413238,0.42899877,0.27442914,0.86514,-0.032632932,0.3490574,-0.05159704
0.9914786,0.9601023,0.4131561,0.43557855,-0.00038060744,0.26147607,0.7002491,-0.03192766,-0.56113577,-0.053626418
0.988957,0.14521581,-0.10476345,0.031193644,0.006770313,-0.13493839,0.18536195,-0.03146026,-0.32274553,-0.05321997
0.99452776,0.9601957,0.13959152,0.06529042,-0.001452638,0.9241327,0.43016964,-0.032575894,-0.8557097,-0.052307922
0.9901017,0.94699615,0.814732,0.7400124,-0.00063233275,0.015956258,0.8041527,-0.031453885,0.36474928,-0.05640464
1.0004586,0.9826955,0.5566483,0.48806772,0.0006816479,0.9822961,0.1091215,-0.032651767,-0.9068723,-0.048376568
0.969479,0.9657903,-0.43188143,-0.40859896,0.0013485792,0.6438223,0.44234717,-0.03365142,-0.48128614,-0.053259723
0.90545774,0.95386297,0.7505326,0.41765285,-0.0031867977,0.84250164,0.29304442,-0.029151784,-0.7541491,-0.05192435
0.993541,0.97453856,0.15000978,0.14407933,-0.0007698928,0.40319195,0.9030232,-0.032641172,1.0917052,-0.053519215
0.69868356,0.47717994,-0.5345719,-0.103536546,0.9316017,-0.1461452,0.60097295,-0.031517584,-1.0263045,-0.050618965
0.9488654,1.1094146,-0.3522331,-0.37588483,0.009810809,0.63129205,0.9596029,-0.017451096,1.2918532,-0.05631443
0.99676734,0.99601203,0.87221247,0.8008876,0.002742527,0.38401935,0.62348217,-0.029345207,-0.0547403,-0.051264413
0.9765031,0.6071918,-0.20809552,-0.40496063,0.018294754,0.7280946,0.9902277,-0.032205157,1.9607719,-0.052813184
0.99480206,1.007693,-0.24296132,-0.2822052,0.0011011938,0.92006046,0.66431093,-0.0328893,-0.83816755,-0.051561546
0.99763477,0.837261,0.2723109,-0.063009754,0.24394307,0.5974496,0.49680826,-0.031877916,-0.48471645,-0.05268356
0.99089,0.989476,0.8433726,0.8158889,-0.0005235468,0.43269664,0.83236456,-0.031288825,1.2669994,-0.056551192
0.9918398,1.0299904,-0.33848715,-0.38612598,0.00040811102,0.47022757,0.86987257,-0.032551717,-0.11078244,-0.05397168
0.9948666,0.99956965,-0.2885335,-0.2914229,0.003495006,0.85744876,0.5207707,-0.033718336,0.22923878,-0.054315865
0.9968442,0.971721,-0.5015309,-0.4335128,0.0006636622,0.47226277,0.9307647,-0.032576486,1.3072641,-0.054902762
0.9836548,0.94388735,0.7547571,0.73126364,0.0029770527,0.27523485,0.6537004,-0.032458656,-0.69887286,-0.054350317
0.9902957,0.885883,0.23329322,0.2513789,-0.00077621464,0.44008443,0.12580392,-0.03176267,-0.8703934,-0.047306564
1.0025935,0.94696116,-0.10757199,-0.17497635,-0.124525785,0.96721137,0.48144144,-0.033037186,-0.7398537,-0.052857254
0.99721825,0.64599586,0.09782357,-0.14921725,-0.11423743,0.3571064,0.5356344,-0.03266434,-0.61588156,-0.05284239
-0.25057766,0.74576014,0.082894385,-0.47731543,0.011291461,0.3558767,0.5713693,-0.03238925,-1.1639149,-0.0499344
0.9988437,0.9908163,0.7651426,0.73426306,0.003518207,0.77714103,-0.058109492,-0.032519344,-0.83339053,-0.051959667
0.99435806,0.995755,0.5866211,0.5787357,0.0013500991,0.64646184,0.79380333,-0.032377947,-0.1925344,-0.054684002
0.98959935,0.9811146,0.06354006,0.03478899,0.0026732702,0.944623,0.47757587,-0.032825056,-0.8704483,-0.04368936
1.0169027,0.95944375,1.2985291,1.288184,-0.3361166,0.66269237,0.28745916,-0.022874925,-0.9510024,-0.04763405
0.99843776,0.6198206,-0.14833423,0.09818214,0.002588706,0.90101755,0.81101364,-0.032740768,-0.43336204,-0.052712604
0.99741393,0.8615142,0.90111077,0.63957435,-0.0014529099,-0.048444,0.69310683,-0.032374997,1.077928,-0.054766387
0.9787882,0.98763365,0.08698556,0.045509122,0.001522174,0.6741473,0.94634444,-0.033671558,1.8633617,-0.05435415
0.9885478,0.9537997,-0.02141219,-0.100721225,0.0016437749,0.9122793,0.6936854,-0.03235658,0.4125981,-0.053122308
0.7851725,0.9948409,0.88297963,0.42366344,0.15919408,0.27160776,0.7880717,-0.023961602,-0.47976002,-0.052141055
0.99536383,0.94533145,0.4255895,0.328454,0.0010293777,0.3798093,0.13869756,-0.03201704,-0.95742226,-0.05088015
0.7670841,0.99172354,0.26169178,0.15687265,0.0011691394,0.30455858,0.05362597,-0.031229127,-0.18224789,-0.05507553
